program_code_3digit,formula,bac_type
523,FG+(M+Info)/2,Mathematiques
523,FG+(M+Info)/2,Sciences Experimentales
523,FG+(M+Info)/2,Sciences Techniques
524,FG+(M+Algo)/2,Informatique
524,FG+(M+Info)/2,Mathematiques
524,FG+(M+Info)/2,Sciences Experimentales
524,FG+(M+Info)/2,Sciences Techniques
525,FG+(M+Algo+2Ang)/4,Informatique
525,FG+(M+Info+2Ang)/4,Mathematiques
525,FG+(M+Info+2Ang)/4,Sciences Experimentales
525,FG+(M+Info+2Ang)/4,Sciences Techniques
526,FG+(M+Algo+2Ang)/4,Informatique
526,FG+(M+Info+2Ang)/4,Mathematiques
526,FG+(M+Info+2Ang)/4,Sciences Experimentales
526,FG+(M+Info+2Ang)/4,Sciences Techniques
532,FG+(M+SP+TE)/3,Sciences Techniques
545,FG+(SP+SVT)/2,Mathematiques
545,FG+(SP+SVT)/2,Sciences Experimentales
546,FG+(SP+SVT)/2,Mathematiques
546,FG+(SP+SVT)/2,Sciences Experimentales
547,FG+SP,Sciences Experimentales
547,FG+SP,Sciences Techniques
547,FG+Ge,Economie et Gestion
548,FG+(HG+PH)/2,Lettres
548,FG+(HG+PH)/2,Economie et Gestion
550,FG+(M+SP)/2,Mathematiques
550,FG+(M+SP)/2,Sciences Experimentales
550,FG+(M+SP)/2,Sciences Techniques
551,FG+(M+SP)/2,Mathematiques
551,FG+(M+SP)/2,Sciences Experimentales
551,FG+(M+SP)/2,Sciences Techniques
566,FG+(M+Algo)/2,Informatique
566,FG+(M+Info)/2,Mathematiques
566,FG+(M+Info)/2,Sciences Experimentales
566,FG+(M+Info)/2,Sciences Techniques
566,FG+(M+Info)/2,Economie et Gestion
568,FG+(M+SP+Algo)/3,Informatique
568,FG+(M+SP+Info)/3,Mathematiques
568,FG+(M+SP+Info)/3,Sciences Experimentales
568,FG+(M+SP+TE)/3,Sciences Techniques
570,FG+(M+SP)/2,Informatique
570,FG+(M+SP)/2,Mathematiques
570,FG+(M+SP)/2,Sciences Experimentales
570,FG+(M+SP+TE)/3,Sciences Techniques
571,FG+SP,Informatique
571,FG+SP,Mathematiques
571,FG+SP,Sciences Experimentales
571,FG+(SP+TE)/2,Sciences Techniques
572,FG+(M+SP+Algo)/3,Informatique
572,FG+(M+SP+Info)/3,Mathematiques
572,FG+(M+SP+Info)/3,Sciences Experimentales
572,FG+(M+SP+Info)/3,Sciences Techniques
573,FG+(M+SP+Algo)/3,Informatique
573,FG+(M+SP+Info)/3,Mathematiques
573,FG+(M+SP+Info)/3,Sciences Experimentales
573,FG+(M+SP+Info)/3,Sciences Techniques
574,FG+(M+Algo)/2,Informatique
574,FG+(M+Info)/2,Mathematiques
574,FG+(M+Info)/2,Sciences Experimentales
574,FG+(M+TE)/2,Sciences Techniques
574,FG+(M+Info)/2,Economie et Gestion
576,FG+(M+SP)/2,Informatique
576,FG+(M+SP)/2,Mathematiques
576,FG+(M+SP)/2,Sciences Experimentales
576,FG+(M+SP)/2,Sciences Techniques
577,FG+(M+SP)/2,Informatique
577,FG+(M+SP)/2,Mathematiques
577,FG+(M+SP)/2,Sciences Experimentales
577,FG+(M+SP)/2,Sciences Techniques
580,FG+(M+SP+Info)/3,Mathematiques
580,FG+(M+SP+Info)/3,Sciences Experimentales
580,FG+(M+SP+Info)/3,Sciences Techniques
597,FG+(M+SP)/2,Mathematiques
597,FG+(M+SP)/2,Sciences Experimentales
597,FG+(M+SP)/2,Sciences Techniques
603,FG+(M+SP+Info)/3,Mathematiques
603,FG+(M+SP+Info)/3,Sciences Experimentales
603,FG+(M+SP+Info)/3,Sciences Techniques
604,FG+(M+SP)/2,Mathematiques
604,FG+(M+SP)/2,Sciences Experimentales
604,FG+(M+SP+TE)/3,Sciences Techniques
611,FG+(A+Ang+F+PH)/4,Informatique
611,FG+(A+Ang+F+PH)/4,Lettres
611,FG+(A+Ang+F+PH)/4,Mathematiques
611,FG+(A+Ang+F+PH)/4,Sciences Experimentales
611,FG+(A+Ang+F+PH)/4,Sciences Techniques
611,FG+(A+Ang+F+PH)/4,Sport
611,FG+(A+Ang+F+PH)/4,Economie et Gestion
612,FG+(A+Ang+F+PH)/4,Informatique
612,FG+(A+Ang+F+PH)/4,Lettres
612,FG+(A+Ang+F+PH)/4,Mathematiques
612,FG+(A+Ang+F+PH)/4,Sciences Experimentales
612,FG+(A+Ang+F+PH)/4,Sciences Techniques
612,FG+(A+Ang+F+PH)/4,Sport
612,FG+(A+Ang+F+PH)/4,Economie et Gestion
622,FG+STI,Informatique
622,FG+Info,Lettres
622,FG+Info,Mathematiques
622,FG+Info,Sciences Experimentales
622,FG+Info,Sciences Techniques
622,FG+Info,Economie et Gestion
629,FG+(M+SP)/2,Informatique
629,FG+(M+SP)/2,Mathematiques
629,FG+(M+SP)/2,Sciences Experimentales
629,FG+(M+SP+TE)/3,Sciences Techniques
671,FG+(M+SP)/2,Informatique
671,FG+(M+SP)/2,Mathematiques
671,FG+(M+SP)/2,Sciences Experimentales
671,FG+(M+SP+TE)/3,Sciences Techniques
672,FG+(M+SP+Algo)/3,Informatique
672,FG+(M+SP+Info)/3,Mathematiques
672,FG+(M+SP+Info)/3,Sciences Experimentales
672,FG+(M+SP+Info)/3,Sciences Techniques
673,FG+M,Informatique
673,FG+M,Mathematiques
673,FG+M,Sciences Experimentales
